name,depth,uniform_cost_max_queue,misplaced_tile_max_queue,manhattan_dist_max_queue,uniform_cost_nodes_expanded,misplaced_tile_nodes_expanded,manhattan_dist_nodes_expanded,uniform_cost_time,misplaced_tile_time,manhattan_dist_time
depth_0,0,1,1,1,1,1,1,2.4080276489257812e-05,1.5735626220703125e-05,1.4066696166992188e-05
depth_2,2,4,3,3,4,3,3,0.0005359649658203125,0.0003230571746826172,0.00031375885009765625
depth_4,4,32,6,6,37,5,5,0.00596308708190918,0.0007157325744628906,0.0007190704345703125
depth_8,8,170,16,12,286,19,13,0.04446887969970703,0.0029020309448242188,0.002048969268798828
depth_12,12,1142,84,26,1927,120,33,0.3101370334625244,0.019062042236328125,0.005234956741333008
depth_16,16,6562,406,110,13102,650,168,2.192456007003784,0.10517001152038574,0.02723407745361328
depth_20,20,17894,1592,245,51073,2633,373,8.837216138839722,0.45415401458740234,0.06236100196838379
depth_24,24,24188,7777,860,121913,15112,1513,22.017546892166138,2.643312931060791,0.25106191635131836
depth_31,31,25142,24569,11959,181439,126921,28286,32.23523783683777,22.982356309890747,4.99642014503479
